height,Collar,Reps,datetime,FCH4_dry,FCO2_dry,SWC_mean,TS_mean
6.25,50,,6/10/2022 10:17,44.72478,0.70706,0.43484,21.816
8.88,29,,6/10/2022 10:20,29.30932,1.01371,0.3956,21.276
8.88,29,,6/10/2022 10:22,9.84706,0.93996,0.46,21.038
7.63,52,,6/10/2022 10:25,122.97168,1.85609,0.31035,20.766
7.63,52,,6/10/2022 10:27,47.02958,1.77082,0.46572,20.7
7.38,72,,6/10/2022 10:30,0.88948,4.20847,0.31517,20.7
7.38,72,,6/10/2022 10:32,1.85942,3.68626,0.3476,20.7
8.13,19,,6/10/2022 10:35,0.03646,3.61339,0.36678,20.718
8.13,19,,6/10/2022 10:37,0.66893,3.06489,0.3662,20.78
6.88,30,,6/10/2022 10:41,-0.03983,4.87706,0.33721,20.9
6.88,30,,6/10/2022 10:43,-0.05783,4.65041,0.4076,20.9
11,20,,6/10/2022 10:46,-0.03389,4.44762,0.21891,21.062
11,20,,6/10/2022 10:48,-0.04187,4.34094,0.27358,21.272
5.25,32,,6/10/2022 10:51,0.46965,3.82311,0.20118,21.528
5.25,32,,6/10/2022 10:53,0.53519,4.02845,0.269,21.7
6.63,62,,6/10/2022 10:57,41.90408,11.52835,0.43501,21.952
6.63,62,,6/10/2022 10:59,17.28612,5.31896,0.45055,22.397
7.63,71,,6/10/2022 11:02,339.50405,6.33587,0.32021,22.4
7.63,71,,6/10/2022 11:04,248.45215,5.77147,0.43738,22.4
8.88,17,,6/10/2022 11:08,1.72912,2.85762,0.3671,22.4
8.88,17,,6/10/2022 11:10,1.58295,2.78939,0.37347,22.4
8.63,639,,6/10/2022 11:13,7.25517,3.96226,0.47335,22.546
8.63,639,,6/10/2022 11:15,7.94529,3.75337,0.44371,22.442
7.63,18,,6/10/2022 11:18,0.10438,4.19968,0.362,22.4
7.63,18,,6/10/2022 11:20,0.10681,3.44747,0.364,22.6
8.38,70,,6/10/2022 11:24,0.77589,7.46426,0.41211,22.638
8.38,70,,6/10/2022 11:26,1.17988,8.09864,0.51046,22.546
9,693,,6/10/2022 11:29,2047.55717,1.62488,0.31068,22.532
9,693,,6/10/2022 11:31,231.76487,1.74299,0.46728,22.6
8.13,49,,6/10/2022 11:34,49.1952,1.37434,0.5736,22.388
8.13,49,,6/10/2022 11:36,36.6602,1.27452,0.525,22.1
8,51,,6/10/2022 11:39,37.89808,4.22752,0.42988,22.012
8,51,,6/10/2022 11:42,28.24232,3.89965,0.43,21.9
9,61,,6/10/2022 11:44,-0.14162,3.48735,0.35229,21.9
9,61,,6/10/2022 11:46,-0.12428,3.59073,0.34422,22.098
8.38,31,,6/10/2022 11:49,-0.40519,5.93125,0.2553,22.4
8.38,31,,6/10/2022 11:51,-0.38711,5.57148,0.3432,22.44
8.75,3,,6/10/2022 11:54,-0.24478,5.79742,0.18836,22.616
8.75,3,,6/10/2022 11:56,-0.32051,6.0407,0.2752,22.8
8.75,60,,6/10/2022 12:01,-0.35603,5.13644,0.3103,22.8
8.75,60,,6/10/2022 12:03,-0.38499,4.82805,0.31523,22.6
8.25,85,,6/10/2022 12:05,-0.68279,6.47368,0.304,22.6
8.25,85,,6/10/2022 12:08,-0.64867,6.06992,0.30399,22.4
9.13,58,,6/10/2022 12:10,-0.11756,4.7085,0.25933,22.426
9.13,58,,6/10/2022 12:12,-0.08959,4.19371,0.361,22.6
9.88,41,,6/10/2022 12:15,-0.64482,6.77014,0.32508,22.6
9.88,41,,6/10/2022 12:17,-0.62232,6.37424,0.33208,22.592
8.5,87,,6/10/2022 12:19,-0.51127,5.64932,0.37355,22.4
8.5,87,,6/10/2022 12:22,0,0,0.376,22.4
8.13,59,,6/10/2022 12:24,-0.41962,6.05083,0.40306,22.4
8.13,59,,6/10/2022 12:26,-0.37052,5.09138,0.409,22.574
9.25,53,,6/10/2022 12:29,-0.17381,4.15958,0.2784,22.612
9.25,53,,6/10/2022 12:31,-0.14047,4.12121,0.42143,22.65743
8.25,54,,6/10/2022 12:33,-1.42526,10.0608,0.27003,22.782
8.25,54,,6/10/2022 12:35,-1.30793,9.20354,0.255,22.728
9.38,56,,6/10/2022 12:38,-0.50735,6.92469,0.41745,22.6
9.38,56,,6/10/2022 12:40,-0.48823,6.57242,0.421,22.4
8.38,44,,6/10/2022 12:42,-0.60838,8.04235,0.42684,22.4
8.38,44,,6/10/2022 12:44,-0.54722,7.14846,0.432,22.4
9.25,88,,6/10/2022 12:46,-0.33461,5.70561,0.41889,22.478
9.25,88,,6/10/2022 12:48,0,0,0.423,22.6
9,57,,6/10/2022 12:51,-0.23236,4.70882,0.24255,22.732
9,57,,6/10/2022 12:53,-0.22922,4.55628,0.385,23
10.25,86,,6/10/2022 12:55,-0.418,5.23469,0.40327,23
10.25,86,,6/10/2022 12:57,-0.35953,4.58459,0.40876,23
10.5,42,,6/10/2022 13:00,-1.37452,10.61131,0.3033,23.015
10.5,42,,6/10/2022 13:02,-1.23961,9.05475,0.30531,23.3
7.5,55,,6/10/2022 13:04,-0.16895,3.99186,0.3142,23.364
7.5,55,,6/10/2022 13:06,-0.16684,3.83224,0.31402,23.5
7.75,43,,6/10/2022 13:09,-0.33954,7.68525,0.36159,23.5
7.75,43,,6/10/2022 13:11,-0.31834,7.35853,0.3541,23.81
8.13,60,,6/15/2022 9:16,-9999,-9999,0.23436,25.48
8.75,60,,6/15/2022 9:18,-9999,-9999,0.28109,24.864
8.75,60,2,6/15/2022 9:20,-0.16972,5.66484,0.29008,24.175
8.75,60,2,6/15/2022 9:23,-0.18617,4.93393,0.28962,23.848
8.25,85,,6/15/2022 9:25,-0.61689,7.32034,0.28875,23.536
8.25,85,,6/15/2022 9:27,-0.55894,6.46576,0.40044,23.072
9.13,58,,6/15/2022 9:30,-0.12631,6.4197,0.35276,23
9.13,58,,6/15/2022 9:32,0.00876,5.23962,0.35527,22.886
8.13,59,,6/15/2022 9:35,-0.35685,7.71529,0.33136,22.8
8.13,59,,6/15/2022 9:37,-0.30763,5.89057,0.3296,22.8
8.5,87,,6/15/2022 9:39,-0.54363,7.00673,0.2739,22.8
8.5,87,,6/15/2022 9:41,-0.49342,6.30573,0.41478,22.8
9.88,41,,6/15/2022 9:44,-0.55583,7.65068,0.3512,22.722
9.88,41,,6/15/2022 9:46,-0.47932,6.30629,0.35355,22.6
9.25,53,,6/15/2022 9:49,-0.47205,5.64198,0.4529,22.72
9.25,53,,6/15/2022 9:51,-0.20591,4.82757,0.467,22.53
10.5,42,,6/15/2022 9:53,-1.26362,10.27405,0.30662,22.4
10.5,42,,6/15/2022 9:56,-1.00623,9.92827,0.2707,22.51881
10.25,86,,6/15/2022 9:58,-0.39998,7.00102,0.26116,22.4
10.25,86,,6/15/2022 10:00,-0.39621,5.41351,0.38581,22.426
7.5,55,,6/15/2022 10:03,-0.19179,4.6645,0.46112,22.6
7.5,55,,6/15/2022 10:05,-0.18989,4.53061,0.45986,22.4
7.75,43,,6/15/2022 10:08,-0.5493,8.84078,0.4359,22.4
7.75,43,,6/15/2022 10:10,0,0,0.435,22.52
8.25,54,,6/15/2022 10:12,-0.99994,9.00326,0.20851,22.6
8.25,54,,6/15/2022 10:14,-0.92344,7.87661,0.31336,22.6
9.38,56,,6/15/2022 10:17,-0.28957,5.92357,0.27818,22.6
9.38,56,,6/15/2022 10:19,-0.31063,6.00252,0.43876,22.6
8.38,44,,6/15/2022 10:22,-0.6045,8.52389,0.456,22.68
8.38,44,,6/15/2022 10:24,-0.57619,8.03697,0.459,22.8
9.25,88,,6/15/2022 10:26,0.04244,2.43577,0.31748,22.8
9.25,88,,6/15/2022 10:28,-0.14853,4.26968,0.45028,22.8
9,57,,6/15/2022 10:31,-0.20729,4.94294,0.39244,22.8
9,57,,6/15/2022 10:33,-0.20566,4.74589,0.39559,22.8
8.25,66,,6/15/2022 10:36,-0.16898,4.62858,0.4232,22.88
8.25,66,,6/15/2022 10:38,-0.12555,4.61293,0.425,23
8.25,82,,6/15/2022 10:40,-0.48944,7.78994,0.30675,23.219
8.25,82,,6/15/2022 10:42,0,0,0.38334,23.246
9,37,,6/15/2022 10:45,-0.42124,5.95677,0.3717,23.3
9,37,,6/15/2022 10:47,0,0,0.377,23.3
9.13,48,,6/15/2022 10:50,-0.12298,3.96385,0.37525,23.3
9.13,48,,6/15/2022 10:52,-0.20013,2.19736,0.37588,23.192
8,83,,6/15/2022 10:54,-0.15448,5.24975,0.41348,23.144
8,83,,6/15/2022 10:56,0.12738,4.09871,0.41647,23
9.25,38,,6/15/2022 10:59,-0.22008,5.58724,0.48368,23
9.25,38,,6/15/2022 11:01,-0.22908,4.9319,0.4968,23
10.25,47,,6/15/2022 11:03,-0.15128,7.50591,0.42134,23
10.25,47,,6/15/2022 11:05,0,0,0.425,23
8.75,81,,6/15/2022 11:08,-0.35616,5.64818,0.46323,23.3
8.75,81,,6/15/2022 11:10,-0.3309,5.07821,0.465,23.162
8.5,39,,6/15/2022 11:12,-0.30687,7.1052,0.29308,23.204
8.5,39,,6/15/2022 11:14,-0.27912,5.98669,0.43319,23.3
9.13,46,,6/15/2022 11:17,-0.40689,6.92126,0.4199,23.368
9.13,46,,6/15/2022 11:19,-0.41053,6.88893,0.42017,23.5
8.25,67,,6/15/2022 11:21,-0.47083,7.07028,0.33965,23.5
8.25,67,,6/15/2022 11:23,-0.40666,5.14909,0.34158,23.5
9.88,65,,6/15/2022 11:26,-0.09431,7.3777,0.46675,23.5
9.88,65,,6/15/2022 11:28,-0.10107,5.74622,0.472,23.3
8.25,68,,6/15/2022 11:31,-0.05678,3.66447,0.33012,23
8.25,68,,6/15/2022 11:33,-0.06536,3.63621,0.524,23
8.63,84,,6/15/2022 11:36,-0.60974,10.00866,0.50656,23.282
8.63,84,,6/15/2022 11:38,-0.54988,8.25679,0.508,23.3
8.5,40,,6/15/2022 11:40,-0.8252,19.51579,0.25707,23.426
8.5,40,,6/15/2022 11:42,-0.6801,15.81098,0.409,23.5
9.13,45,,6/15/2022 11:45,-0.09834,6.91102,0.51274,23.5
9.13,45,,6/15/2022 11:47,-0.10164,5.24697,0.523,23.308
6.88,30,,6/17/2022 9:57,-0.17465,6.28425,0.35482,26.91
6.88,30,,6/17/2022 10:00,-0.17407,5.90491,0.35556,26.38
9.38,2,,6/17/2022 10:08,-0.06014,6.37938,0.48222,25.187
9.38,2,,6/17/2022 10:10,-0.06006,5.73324,0.484,24.916
8.63,64,,6/17/2022 10:15,0.2483,4.38454,0.41641,24.577
8.63,64,,6/17/2022 10:17,0.40021,3.94525,0.419,24.4
7.63,52,,6/17/2022 10:22,642.65099,1.61392,0.634,24.306
7.63,52,,6/17/2022 10:24,72.97538,1.35376,0.635,24.044
7.38,72,,6/17/2022 10:28,3.25896,5.69211,0.50964,24.08
7.38,72,,6/17/2022 10:30,2.91333,5.0411,0.52858,23.9
8.13,19,,6/17/2022 10:33,2.90798,5.35465,0.47554,24.197
8.13,19,,6/17/2022 10:35,2.02772,4.43254,0.475,23.9
8.63,64,2,6/17/2022 10:39,0.20965,4.33573,0.49252,24.056
8.63,64,2,6/17/2022 10:41,0.76366,3.78868,0.492,23.9
8,51,,6/29/2022 9:13,1.33628,7.86196,0.46524,23.572
8,51,,6/29/2022 9:15,1.28105,7.99393,0.466,23.085
9,61,,6/29/2022 9:20,-0.15288,3.9522,0.25052,22.975
9,61,,6/29/2022 9:22,-0.16246,3.6481,0.35029,23.642
8.38,31,,6/29/2022 9:25,-0.54809,7.83593,0.18343,24.31919
8.38,31,,6/29/2022 9:27,-0.52589,6.60453,0.18772,24.2
8.75,3,,6/29/2022 9:30,-0.37628,6.7518,0.26116,23.9
8.75,3,,6/29/2022 9:32,-0.31293,6.3961,0.24886,23.9
8.38,70,,6/29/2022 9:35,-0.06307,5.88788,0.4026,23.7
8.38,70,,6/29/2022 9:37,0.06495,5.43526,0.41376,23.608
9,693,,6/29/2022 9:40,715.96686,5.15779,0.53986,23.386
9,693,,6/29/2022 9:42,352.82789,3.94901,0.54046,22.876
8.13,49,,6/29/2022 9:45,15.38391,1.59103,0.26042,22.568
8.13,49,,6/29/2022 9:47,53.03569,1.28722,0.47852,22.2
7.63,18,,6/29/2022 9:51,-0.02255,3.98681,0.2569,21.9
7.63,18,,6/29/2022 9:53,-0.01304,4.29061,0.367,21.9
5.25,32,,6/29/2022 9:55,0.26287,7.26333,0.47762,21.9
5.25,32,,6/29/2022 9:57,0.29254,7.95175,0.476,21.9
6.63,62,,6/29/2022 10:01,2.53208,8.30037,0.40375,21.9
6.63,62,,6/29/2022 10:03,2.22038,4.82455,0.475,21.9
7.63,71,,6/29/2022 10:06,8.54578,8.20534,0.45445,21.814
7.63,71,,6/29/2022 10:08,9.44826,7.70979,0.44847,21.9
8.63,639,,6/29/2022 10:12,3.91333,4.75819,0.42313,21.85446
8.63,639,,6/29/2022 10:14,3.96465,4.08232,0.512,21.644
8.88,17,,6/29/2022 10:16,1.0546,3.25096,0.39691,21.622
8.88,17,,6/29/2022 10:18,1.05895,3.10214,0.403,21.7
7.38,72,,6/29/2022 10:21,2.25716,4.6528,0.3823,21.7
7.38,72,,6/29/2022 10:23,1.86601,3.96939,0.46379,21.7
8.13,19,,6/29/2022 10:26,0.03701,4.5087,0.45347,21.7
8.13,19,,6/29/2022 10:28,0.31348,3.68321,0.452,21.7
9.38,2,,6/29/2022 10:32,-0.09752,5.42695,0.40423,21.7
9.38,2,,6/29/2022 10:34,-0.0875,4.56531,0.40142,21.7
8.63,64,,6/29/2022 10:37,-0.03181,3.95251,0.40518,21.582
8.63,64,,6/29/2022 10:39,-0.08086,3.41181,0.4047,21.5
9,4,,6/29/2022 10:43,0.79992,9.17663,0.36972,21.5
9,4,,6/29/2022 10:45,-0.25128,6.48362,0.41118,21.5
8.88,29,,6/29/2022 10:49,132.42178,0.87377,0.4035,21.47
8.88,29,,6/29/2022 10:51,70.43356,0.85792,0.538,21.3
7.63,52,,6/29/2022 10:54,798.84133,2.03319,0.55738,21.106
7.63,52,,6/29/2022 10:56,269.21605,1.91017,0.574,21.1
6.25,50,,6/29/2022 10:59,8.0309,0.79434,0.34484,21.086
6.25,50,,6/29/2022 11:02,4.84258,0.75757,0.512,20.9
11,20,,6/29/2022 11:05,0.0772,4.73799,0.38186,21.214
11,20,,6/29/2022 11:07,0.07433,4.51233,0.3838,21.506
6.88,30,,6/29/2022 11:10,-0.09062,5.77452,0.38128,21.988
6.88,30,,6/29/2022 11:12,-0.05776,5.75681,0.3832,22.64
9,57,,6/29/2022 11:15,-0.13653,4.61075,0.22996,23
9,57,,6/29/2022 11:17,-0.15854,4.49989,0.37004,23
9.25,88,,6/29/2022 11:20,-0.34923,5.46462,0.403,23
9.25,88,,6/29/2022 11:22,-0.3418,5.13996,0.403,22.8
8.38,44,,6/29/2022 11:26,-0.64114,7.49529,0.25596,22.8
8.38,44,,6/29/2022 11:28,-0.60031,7.08045,0.35782,22.8
9.38,56,,6/29/2022 11:30,-0.87119,8.02054,0.3412,22.8
9.38,56,,6/29/2022 11:32,-0.79562,7.3177,0.342,22.8
8.25,54,,6/29/2022 11:35,-1.20601,9.05648,0.01888,22.8
8.25,54,,6/29/2022 11:37,-1.01698,7.46292,0,22.98
9.25,53,,6/29/2022 11:40,-0.23391,4.81864,0.37704,23.096
9.25,53,,6/29/2022 11:43,-0.20387,4.39803,0.38032,22.854
10.5,42,,6/29/2022 11:46,-1.20404,10.99646,0.3393,22.6
10.5,42,,6/29/2022 11:48,-1.10923,9.92125,0.34474,22.6
10.25,86,,6/29/2022 11:51,-0.38711,5.0365,0.36184,22.784
10.25,86,,6/29/2022 11:53,-0.3727,4.70459,0.361,22.724
7.5,55,,6/29/2022 11:55,-0.21609,4.54355,0.2106,22.945
7.5,55,,6/29/2022 11:58,-0.22303,4.74455,0.32968,23.442
7.75,43,,6/29/2022 12:00,-0.54004,7.88756,0.38732,23.548
7.75,43,,6/29/2022 12:02,-0.51415,7.37105,0.4003,23.64
9.13,58,,6/29/2022 12:04,-0.14692,5.20974,0.39853,23.802
9.13,58,,6/29/2022 12:06,-0.11083,4.4261,0.4,24.068
8.25,85,,6/29/2022 12:09,-1.07745,8.04594,0.33684,24.2
8.25,85,,6/29/2022 12:11,-1.03304,7.46818,0.34544,24.2
8.75,60,,6/29/2022 12:13,-0.75868,5.80621,0.2642,24.2
8.75,60,,6/29/2022 12:15,-0.66116,5.26499,0.266,24.292
8.13,59,,6/29/2022 12:18,-0.55181,6.51852,0.39744,24.304
8.13,59,,6/29/2022 12:20,-0.49842,5.7998,0.40062,24.2
8.5,87,,6/29/2022 12:23,-0.65869,6.4606,0.28384,24.158
8.5,87,,6/29/2022 12:25,-0.65593,6.33835,0.386,24.14
9.88,41,,6/29/2022 12:27,0,0,0.3603,24.086
9.88,41,,6/29/2022 12:29,-0.60177,6.41922,0.36188,23.9
8.25,68,,7/1/2022 9:15,-0.45942,6.06625,0.32744,27.128
8.25,68,,7/1/2022 9:17,-0.43998,5.81669,0.329,26.372
8.63,84,,7/1/2022 9:20,-1.41807,10.12689,0.29564,25.909
8.63,84,,7/1/2022 9:22,-1.32547,8.85619,0.37355,25.55
8.5,40,,7/1/2022 9:25,-2.77904,44.27042,0.29756,25.524
8.5,40,,7/1/2022 9:27,-1.60119,27.58431,0.30181,25.466
9.13,45,,7/1/2022 9:29,-0.26915,6.23501,0.38159,25.277
9.13,45,,7/1/2022 9:31,-0.25361,5.20959,0.38454,24.9
8.25,67,,7/1/2022 9:34,-1.11611,7.74103,0.22662,24.82
8.25,67,,7/1/2022 9:36,-0.89703,6.1412,0.28816,24.7
9.88,65,,7/1/2022 9:39,-0.80402,10.28569,0.27105,24.7
9.88,65,,7/1/2022 9:41,-0.52184,7.13983,0.27532,24.7
9.13,46,,7/1/2022 9:44,-1.16543,10.83259,0.33726,24.7
9.13,46,,7/1/2022 9:46,-1.14865,9.9928,0.33274,24.691
8.75,81,,7/1/2022 9:48,-0.92518,8.32441,0.31701,24.688
8.75,81,,7/1/2022 9:50,-0.88034,7.80596,0.319,24.4
8.5,39,,7/1/2022 9:53,-0.60969,8.3042,0.05696,24.4
8.5,39,,7/1/2022 9:55,-0.58318,7.70603,0.08468,24.622
10.25,47,,7/1/2022 9:57,-0.53289,11.27417,0.293,24.7
10.25,47,,7/1/2022 9:59,-0.44459,9.27888,0.29352,24.7
9.25,38,,7/1/2022 10:02,-0.53715,7.50497,0.32916,24.469
9.25,38,,7/1/2022 10:04,-0.50721,6.74197,0.34154,24.4
8,83,,7/1/2022 10:06,-1.15424,8.58922,0.25228,24.517
8,83,,7/1/2022 10:08,-1.1631,8.18011,0.252,24.7
9.13,48,,7/1/2022 10:11,-0.38016,5.21349,0.1697,24.7
9.13,48,,7/1/2022 10:13,-0.32656,5.16575,0.23879,24.81881
8.25,66,,7/1/2022 10:16,-0.76641,6.0003,0.24751,24.956
8.25,66,,7/1/2022 10:18,-0.73983,5.85525,0.25083,25.1
8.25,82,,7/1/2022 10:21,-1.74465,9.83168,0.22765,24.978
8.25,82,,7/1/2022 10:23,-1.56104,8.37014,0.379,24.9
9,37,,7/1/2022 10:25,-0.90475,9.88202,0.29504,25.004
9,37,,7/1/2022 10:28,-0.77775,7.90338,0.29442,25.1
8,51,,7/6/2022 9:21,2.21052,5.8262,0.454,25.6
8,51,,7/6/2022 9:23,2.03259,5.63157,0.45699,25.217
9,61,,7/6/2022 9:26,-0.09712,5.39657,0.34284,25.304
9,61,,7/6/2022 9:28,-0.13986,4.99177,0.34246,25.4
8.38,31,,7/6/2022 9:31,-0.54581,15.03047,0.24614,25.4
8.38,31,,7/6/2022 9:33,-0.41037,10.95013,0.24923,25.391
8.75,3,,7/6/2022 9:36,-0.42024,12.4648,0.22184,25.1
8.75,3,,7/6/2022 9:38,-0.31565,9.13575,0.27374,25.1
8.38,70,,7/6/2022 9:42,0.12548,8.2016,0.38934,24.914
8.38,70,,7/6/2022 9:44,0.05606,6.3856,0.41996,24.824
9,693,,7/6/2022 9:47,442.72436,2.28096,0.37903,24.7
9,693,,7/6/2022 9:49,276.57739,1.77654,0.4636,24.616
8.13,49,,7/6/2022 9:52,1.66008,1.01165,0.48667,24.4
8.13,49,,7/6/2022 9:54,1.26513,0.99618,0.48887,24.346
7.63,18,,7/6/2022 9:58,-0.03612,5.81622,0.37,24.535
7.63,18,,7/6/2022 10:00,-0.02512,5.53591,0.3685,24.7
6.63,62,,7/6/2022 10:03,1.3522,5.40757,0.48573,24.7
6.63,62,,7/6/2022 10:05,0.29728,3.34819,0.487,24.484
5.25,32,,7/6/2022 10:08,0.27382,4.82932,0.456,24.4
5.25,32,,7/6/2022 10:10,0.26323,4.71891,0.45688,24.4
7.63,71,,7/6/2022 10:14,4.31033,9.63142,0.4522,24.52
7.63,71,,7/6/2022 10:16,3.88577,8.26103,0.45,24.792
8.63,639,,7/6/2022 10:19,1.91702,5.25612,0.47086,24.768
8.63,639,,7/6/2022 10:21,2.04065,4.49861,0.473,24.667
8.88,17,,7/6/2022 10:24,0.9408,3.99121,0.32973,24.346
8.88,17,,7/6/2022 10:27,0.84015,3.72969,0.37964,24.2
7.38,72,,7/6/2022 10:30,5.3853,5.88178,0.448,24.2
7.38,72,,7/6/2022 10:32,4.40208,4.77211,0.45,24.2
8.13,19,,7/6/2022 10:36,0.53375,5.14624,0.4167,24.2
8.13,19,,7/6/2022 10:38,0.474,4.26604,0.4185,23.975
8.63,64,,7/6/2022 10:42,0.00676,4.05265,0.42736,24.08
8.63,64,,7/6/2022 10:44,-0.02416,3.73618,0.43495,23.9
9.38,2,,7/6/2022 10:47,0.06598,8.533,0.43686,24.2
9.38,2,,7/6/2022 10:49,0.12092,7.45727,0.43764,24.2
9,4,,7/6/2022 10:53,0.00998,9.01057,0.34212,24.515
9,4,,7/6/2022 10:55,-0.06661,7.15072,0.34856,24.4
6.25,50,,7/6/2022 10:58,0.5754,0.69626,0.4436,24.7
6.25,50,,7/6/2022 11:00,0.41556,0.66235,0.444,24.7
8.88,29,,7/6/2022 11:04,165.84059,0.5654,0.4536,24.72
8.88,29,,7/6/2022 11:06,1.28214,0.59256,0.50696,24.7
7.63,52,,7/6/2022 11:09,410.34832,1.2132,0.53512,24.7
7.63,52,,7/6/2022 11:11,578.66334,1.55068,0.538,24.7
6.88,30,,7/6/2022 11:16,0.14292,6.41822,0.39606,24.7
6.88,30,,7/6/2022 11:18,0.15708,6.07686,0.40072,24.7
11,20,,7/6/2022 11:21,0.09395,5.3015,0.2196,24.7
11,20,,7/6/2022 11:23,0.08771,5.35455,0.29376,24.7
8.25,68,,7/7/2022 15:41,-0.04864,3.41571,0.45075,23.7
8.25,68,,7/7/2022 15:43,-0.06886,3.31628,0.45136,23.644
8.63,84,,7/7/2022 15:46,-0.69791,10.44729,0.41016,23.7
8.63,84,,7/7/2022 15:48,-0.67818,9.03321,0.4406,23.7
8.5,40,,7/7/2022 15:51,-1.87077,50.51272,0.4276,23.7
8.5,40,,7/7/2022 15:53,0,0,0.4672,23.7
9.13,45,,7/7/2022 15:56,-0.11664,5.60322,0.3724,23.7
9.13,45,,7/7/2022 15:58,-0.06564,4.79285,0.39076,23.778
9.13,46,,7/7/2022 16:01,-0.41878,9.08153,0.4492,23.9
9.13,46,,7/7/2022 16:03,-0.43588,8.43289,0.442,23.9
8.25,67,,7/7/2022 16:06,-0.37149,7.46703,0.39359,23.9
8.25,67,,7/7/2022 16:08,-0.31626,5.93344,0.39404,23.9
9.25,38,,7/7/2022 16:11,-0.24627,7.80429,0.426,24.11
9.25,38,,7/7/2022 16:13,0,0,0.42645,24.155
10.25,47,,7/7/2022 16:16,-0.16783,7.33704,0.433,24.164
10.25,47,,7/7/2022 16:18,-0.16218,6.48774,0.435,23.9
8.75,81,,7/7/2022 16:21,-0.30256,6.62661,0.37875,23.945
8.75,81,,7/7/2022 16:23,-0.28812,5.68392,0.457,23.96
9.88,65,,7/7/2022 16:26,-0.12785,5.069,0.3808,24.14
9.88,65,,7/7/2022 16:29,-0.09,4.95068,0.43875,23.9
8.5,39,,7/7/2022 16:32,-0.31809,7.29857,0.44506,23.9
8.5,39,,7/7/2022 16:34,0,0,0.45435,23.9
8,83,,7/7/2022 16:37,-0.53324,6.9682,0.38547,23.9
8,83,,7/7/2022 16:39,0,0,0.38548,23.9
8.25,82,,7/7/2022 16:45,-0.70972,9.72494,0.35908,24.2
8.25,82,,7/7/2022 16:48,-0.74824,8.12198,0.361,24.2
8.25,66,,7/7/2022 16:50,-0.29573,5.34072,0.36804,24.2
8.25,66,,7/7/2022 16:52,-0.21176,5.05348,0.36918,24.2
9,37,,7/7/2022 16:55,-0.46175,7.27177,0.35796,24.2
9,37,,7/7/2022 16:57,-0.65282,7.75124,0.36549,24.2
9.38,56,,7/7/2022 17:00,-0.54663,8.71803,0.3836,24.14
9.38,56,,7/7/2022 17:03,-0.58092,8.68048,0.4484,24.08
8.38,44,,7/7/2022 17:05,-0.65082,12.40453,0.35356,23.9
8.38,44,,7/7/2022 17:07,0,0,0.427,23.9
8.25,54,,7/7/2022 17:10,-0.80923,9.17256,0.4438,23.9
8.25,54,,7/7/2022 17:12,-0.75961,8.04793,0.43957,23.9
9.25,88,,7/7/2022 17:16,-0.2869,6.53653,0.447,23.9
9.25,88,,7/7/2022 17:18,-0.26928,5.80401,0.451,23.9
9,57,,7/7/2022 17:21,-0.19354,5.16482,0.46894,24.002
9,57,,7/7/2022 17:23,-0.17192,4.78293,0.472,24.083
10.25,86,,7/7/2022 17:26,-0.38035,7.65351,0.41779,23.9
10.25,86,,7/7/2022 17:28,-0.45078,6.47286,0.43594,23.9
7.5,55,,7/7/2022 17:31,-0.15827,5.00106,0.47601,23.9
7.5,55,,7/7/2022 17:33,-0.13886,4.65865,0.47988,23.756
7.75,43,,7/7/2022 17:36,0,0,0.38468,23.862
7.75,43,,7/7/2022 17:39,-0.51208,9.03719,0.44646,23.846
9.13,58,,7/7/2022 17:41,-0.12112,7.26966,0.3744,23.872
9.13,58,,7/7/2022 17:43,-0.11506,5.2038,0.4622,23.7
8.25,85,,7/7/2022 17:46,-0.80576,4.16699,0.44483,23.7
8.25,85,,7/7/2022 17:48,0,0,0.446,23.7
8.75,60,,7/7/2022 17:53,-0.7448,7.88355,0.331,23.7
8.75,60,,7/7/2022 17:55,-0.5699,6.59146,0.33,23.7
8.13,59,,7/7/2022 17:59,-0.46627,8.14228,0.41964,23.7
8.13,59,,7/7/2022 18:01,-0.34927,6.69976,0.45102,23.7
8.5,87,,7/7/2022 18:03,-0.49718,7.423,0.39452,23.868
8.5,87,,7/7/2022 18:05,-0.52721,7.01685,0.47243,23.7
9.88,41,,7/7/2022 18:08,-0.52577,8.33225,0.43492,23.7
9.88,41,,7/7/2022 18:10,0,0,0.437,23.7
9.25,53,,7/7/2022 18:14,-0.13916,5.11007,0.505,23.7
9.25,53,,7/7/2022 18:16,-0.13008,4.46606,0.505,23.7
10.5,42,,7/7/2022 18:19,-0.74495,12.56344,0.47372,23.7
10.5,42,,7/7/2022 18:21,-0.55767,11.22065,0.471,23.7
8.13,59,,7/13/2022 9:02,-0.4537,7.5555,0.347,24.58889
8.13,59,,7/13/2022 9:04,-0.45673,6.65884,0.34957,24.2
8.5,87,,7/13/2022 9:08,-0.72479,7.61138,0.39484,23.716
8.5,87,,7/13/2022 9:10,-0.68002,6.96547,0.395,23.504
9.88,41,,7/13/2022 9:14,-0.08338,2.11019,0.3668,23.3
9.88,41,,7/13/2022 9:16,0.02697,1.56767,0.368,23.3
9.25,53,,7/13/2022 9:20,-0.14734,4.52906,0.39605,23
9.25,53,,7/13/2022 9:22,-0.15798,4.10225,0.44405,23
10.5,42,,7/13/2022 9:25,-1.06,15.62045,0.32163,22.966
